code,baseline_A,baseline_B,baseline_C,baseline_D,baseline_E,occ_industry_pct,occ_agriculture_pct,occ_trade_pct,occ_civilservice_pct,occ_domestic_pct,occ_medicine_pct,rel_protestant_pct,rel_catholic_pct,rel_jewish_other_pct,pop_density_per_km2,pct_youth
PL-TERC-3205,6.6,15.0,62.8,11.0,4.6,14.0,59.5,12.5,6.4,6.6,1.1,93.3,3.7,3.0,51,14.8
PL-TERC-2201,7.1,16.3,62.5,7.5,6.6,14.9,57.3,13.1,7.1,6.2,1.4,22.2,75.7,2.1,57,12.7
WKR-003,3.5,22.7,25.3,39.7,8.8,14.2,56.6,14.6,6.6,6.9,1.1,82.4,15.4,2.2,105,12.0
PL-TERC-2214,10.2,23.3,45.6,12.9,8.0,21.3,42.8,20.2,6.4,7.5,1.8,3,95,2,208,12.9
PL-TERC-2813,8.8,21.5,54.5,9.6,5.6,7.3,67.8,12.7,6.0,4.5,1.6,86.3,11.9,1.8,86,11.0
WKR-008,3.9,26.6,24.7,36.7,8.1,14.6,57.0,15.0,6.1,5.9,1.4,81.8,14.6,3.6,115,9.5
PL-TERC-2806,5.7,13.0,59.9,12.8,8.6,8.8,62.5,12.8,7.5,6.9,1.5,92.2,6.2,1.7,71,14.1
PL-TERC-2862,8.6,20.9,55.4,6.7,8.4,21.1,47.5,18.8,6.3,4.5,1.8,15.2,82.8,2.0,164,14.4
PL-TERC-3204,7.2,32.5,50.1,5.8,4.4,8.0,64.7,14.1,5.4,6.4,1.3,85.5,10.8,3.7,67,14.6
PL-TERC-2815,7.0,31.4,50.1,6.4,5.1,13.3,58.7,13.9,6.0,6.7,1.4,83.2,13.1,3.6,64,11.2
WKR-007,1.1,8.1,24.5,46.4,19.9,13.6,54.4,15.9,7.9,6.0,2.2,87.7,10.1,2.2,145,12.4
WKR-016,7.2,17.7,26.0,38.9,10.2,19.9,49.1,16.9,7.4,5.1,1.6,93.6,3.8,2.6,128,12.3
PL-TERC-3215,6.2,17.0,51.8,17.1,7.9,9.1,64.6,11.1,7.4,6.4,1.4,87.9,8.8,3.3,65,9.9
PL-TERC-2810,7.7,18.6,53.8,12.0,7.9,12.1,60.7,12.9,7.1,5.9,1.3,90.0,6.9,3.1,65,12.1
PL-TERC-3211,5.5,15.2,52.0,17.6,9.7,10.5,64.4,12.0,7.3,4.1,1.8,93.3,4.5,2.1,81,13.7
WKR-029,5.8,11.6,67.5,10.1,5.0,16.2,55.8,15.3,6.2,4.9,1.7,83.7,13.7,2.7,131,13.7
PL-TERC-0416,9.0,20.7,45.0,16.5,8.8,15.8,55.7,13.7,7.7,5.8,1.2,20.7,77.0,2.3,98,12.1
WKR-026,2.1,14.2,25.0,32.3,26.4,13.5,56.2,16.8,7.3,4.6,1.5,86.1,12.1,1.8,68,10.7
WKR-024,3.0,23.3,22.0,30.4,21.3,14.8,53.7,16.1,6.7,7.4,1.3,88.3,10.1,1.5,87,13.1
PL-TERC-3262,7.0,17.1,54.2,12.8,8.9,12.7,62.5,10.7,7.4,5.1,1.6,93.0,3.8,3.2,60,9.9
WKR-030,6.4,14.6,52.4,17.0,9.6,13.1,55.8,16.7,7.6,5.3,1.5,87.0,9.0,4.0,125,11.5
PL-TERC-3031,4.7,9.5,69.3,10.7,5.8,13.1,62.1,10.9,6.9,5.3,1.7,88.9,7.5,3.6,71,14.8
PL-TERC-2803,6.5,15.0,62.6,7.5,8.4,14.8,56.7,14.2,7.8,4.5,1.9,13.2,83.2,3.6,81,10.8
PL-TERC-0402,9.4,21.6,46.8,14.3,7.9,13.9,53.6,16.4,6.8,7.5,1.8,17.2,79.3,3.5,76,11.0
WKR-036,8.0,18.2,51.9,15.2,6.7,13.2,56.2,15.5,7.0,7.0,1.1,81.3,15.6,3.1,79,10.7
PL-TERC-0406,7.7,17.7,54.1,13.5,7.0,15.1,56.4,14.6,7.5,5.1,1.3,20.7,77.0,2.3,94,10.2
PL-TERC-3212,5.8,13.3,60.5,13.3,7.1,11.0,62.9,11.4,7.7,5.7,1.2,91.8,4.9,3.3,44,10.1
PL-TERC-0403,10.0,24.2,30.2,20.4,15.2,12.8,56.2,15.8,8.1,5.0,2.1,20.2,76.9,2.9,66,12.2
PL-TERC-0463,6.6,13.1,60.7,12.1,7.5,14.5,57.3,13.4,8.0,5.7,1.1,14.3,83.0,2.7,90,13.0
WKR-037,7.7,16.0,30.4,33.6,12.3,17.0,51.4,17.4,7.7,4.9,1.6,88.9,8.1,3.0,66,12.0
WKR-057,10.6,21.4,34.4,27.0,6.6,20.4,51.1,15.8,6.2,4.8,1.7,81.1,15.0,3.9,107,10.4
PL-TERC-3002,9.4,22.8,35.8,19.1,12.9,10.7,58.3,15.4,7.8,6.0,1.8,27.0,69.7,3.3,65,14.6
WKR-034,4.5,9.1,68.5,11.9,6.0,17.1,55.6,14.5,7.5,4.2,1.2,84.1,12.1,3.8,130,11.2
PL-TERC-0806,9.7,23.5,38.8,18.9,9.1,10.0,62.4,14.7,7.2,4.6,1.1,86.0,11.2,2.8,77,11.9
WKR-025,55.2,10.3,8.1,20.5,5.9,12.9,57.3,16.5,7.3,5.0,1.1,85.8,10.2,4.0,97,13.7
PL-TERC-3206,7.0,15.9,59.8,11.1,6.2,14.4,59.0,13.4,6.4,5.2,1.7,89.1,9.2,1.7,63,14.2
PL-TERC-3019,6.6,13.1,67.1,8.7,4.5,12.1,58.2,14.9,6.2,7.2,1.4,15.5,82.2,2.3,80,12.3
WKR-056,5.4,12.3,55.3,16.5,10.5,17.2,53.9,14.5,7.8,5.0,1.6,83.8,13.1,3.1,136,14.6
WKR-035,8.2,16.3,37.3,28.1,10.1,13.2,57.7,15.7,7.0,4.4,2.0,87.2,9.9,2.9,94,14.5
PL-TERC-0419,7.3,16.7,52.3,15.2,8.5,16.5,54.5,14.7,7.9,4.8,1.5,25.7,70.8,3.6,85,11.6
WKR-058,6.0,12.0,66.1,11.4,4.5,18.4,53.7,13.6,6.5,6.6,1.2,86.6,9.6,3.8,152,11.1
WKR-044,6.4,14.7,57.1,14.4,7.4,17.2,52.4,16.4,7.2,5.5,1.3,81.8,15.3,2.9,108,13.3
PL-TERC-0409,8.1,18.4,50.2,14.5,8.8,16.6,51.7,15.3,7.3,7.0,2.0,21.5,76.1,2.5,97,12.2
WKR-033,6.4,27.9,18.0,39.0,8.7,16.2,53.9,16.0,7.1,5.3,1.6,87.2,10.2,2.6,73,10.3
WKR-059,8.1,31.3,28.0,24.3,8.3,15.1,55.3,16.0,6.6,5.2,1.8,79.5,16.8,3.6,118,13.7
WKR-076,6.0,22.5,1.0,24.8,45.7,50.8,13.5,20.2,8.0,5.8,1.8,79.9,17.1,3.1,11000,18.5
WKR-075,4.0,22.1,1.0,24.3,48.6,52.8,9.3,23.0,7.6,5.2,2.1,86.7,9.7,3.7,9431,22.6
PL-TERC-3024,9.3,21.2,48.4,14.1,7.0,10.3,59.4,16.0,6.5,6.2,1.7,24.9,72.5,2.6,79,11.8
PL-TERC-3003,7.8,17.8,45.2,16.4,12.8,12.3,57.1,14.8,8.5,5.3,2.1,11.4,85.6,2.9,68,13.1
WKR-074,2.0,28.0,1.0,22.0,47.0,52.0,9.7,23.6,7.5,5.6,1.7,76.6,19.9,3.5,7227,24.8
WKR-085,10.4,43.0,1.0,27.3,18.3,56.2,9.4,22.0,5.7,5.0,1.7,76.8,19.9,3.3,9809,19.3
WKR-084,5.5,25.3,1.0,28.7,39.5,59.7,5.5,22.3,6.3,4.4,1.9,71.1,25.5,3.4,8470,27.7
WKR-066,3.3,35.6,35.6,19.5,6.0,18.6,53.0,15.2,6.4,5.2,1.6,84.5,14.0,1.5,127,13.2
WKR-043,3.5,27.3,1.0,37.1,31.1,55.6,3.4,26.0,5.9,7.2,2.0,83.8,14.1,2.1,9080,22.1
WKR-031,53.5,14.3,7.4,19.8,5.0,15.1,54.4,14.0,7.5,6.9,2.0,85.1,12.3,2.6,93,11.8
WKR-077,3.9,24.0,1.0,19.9,51.2,50.9,7.7,24.2,8.5,7.6,1.2,86.7,10.7,2.6,8561,23.4
WKR-082,6.4,33.1,1.0,36.3,23.2,50.8,12.5,22.0,6.0,7.4,1.4,83.3,13.7,3.0,12792,23.6
WKR-045,6.2,58.4,14.5,17.7,3.2,14.7,52.9,17.7,5.9,7.5,1.2,85.7,10.5,3.8,72,10.2
WKR-079,2.0,25.0,1.0,48.0,24.0,48.1,12.1,23.2,8.2,6.5,1.9,89.9,8.4,1.6,5785,25.8
WKR-080,9.2,28.4,1.0,33.4,28.0,48.1,12.2,25.3,6.4,6.4,1.6,72.2,23.9,3.9,8369,22.9
WKR-081,6.3,23.2,1.0,19.8,49.7,52.3,7.1,23.4,8.4,6.9,2.0,77.9,18.1,4.0,11750,25.0
WKR-040,7.1,31.1,18.0,37.4,6.4,18.3,54.5,13.9,6.7,5.5,1.1,87.8,9.9,2.3,131,11.8
WKR-078,3.0,27.0,1.0,46.0,23.0,51.8,12.6,19.3,7.7,6.8,1.7,71.2,25.3,3.5,8238,19.2
WKR-083,5.9,33.6,1.0,32.7,26.8,53.3,12.2,22.0,6.9,4.6,1.1,74.5,23.5,2.0,6645,21.7
PL-TERC-3064,7.5,15.1,64.6,8.7,4.1,15.6,55.4,15.1,5.3,6.9,1.7,15.9,81.0,3.1,112,11.0
WKR-041,7.3,35.7,1.0,38.5,17.5,52.6,12.3,21.1,5.8,6.9,1.3,84.0,12.9,3.1,5390,21.4
WKR-038,11.3,37.5,1.0,31.5,18.7,54.2,10.9,20.3,6.3,6.6,1.8,72.9,25.5,1.6,2307,14.7
WKR-061,1.8,39.5,18.0,30.4,10.3,16.2,51.9,16.7,7.5,5.9,1.7,88.4,9.4,2.2,104,9.7
WKR-133,64.7,15.9,1.0,7.6,10.8,23.1,44.2,17.6,8.3,5.2,1.6,11.9,86.6,1.5,118,13.4
WKR-042,7.3,28.8,1.0,38.2,24.7,60.0,3.5,21.4,7.1,6.6,1.4,83.8,13.3,2.9,9382,18.2
WKR-051,4.8,24.4,1.0,27.4,42.4,53.8,11.7,19.6,8.1,5.2,1.7,67.8,30.5,1.7,2511,17.2
WKR-047,7.1,22.1,1.0,21.5,48.3,52.1,9.1,20.8,8.2,7.7,2.0,80.2,17.4,2.4,7370,19.5
WKR-050,5.1,26.7,1.0,29.5,37.7,53.4,9.7,20.5,7.3,7.2,1.9,70.5,26.1,3.4,2375,16.5
WKR-039,13.4,39.6,1.0,31.1,14.9,58.8,9.2,19.7,6.2,4.5,1.5,66.7,30.2,3.1,2351,15.0
WKR-060,6.3,24.4,28.0,29.2,12.1,16.5,51.5,15.2,7.9,7.2,1.7,90.8,7.6,1.7,78,12.3
WKR-127,66.3,18.9,1.0,7.1,6.7,26.2,43.2,19.0,6.1,4.4,1.1,11.5,85.8,2.7,142,14.4
WKR-063,8.3,19.1,50.9,15.3,6.4,17.6,53.4,15.3,6.5,5.8,1.4,85.4,11.8,2.8,94,11.7
PL-TERC-3030,8.8,20.2,47.2,14.8,9.0,16.2,56.2,12.2,7.3,6.3,1.9,16.0,81.8,2.2,68,14.3
PL-TERC-0802,5.5,12.4,54.4,17.0,10.7,8.3,61.9,15.2,8.0,5.2,1.4,89.0,8.0,3.0,58,13.9
PL-TERC-0803,5.6,11.2,71.3,8.8,3.1,13.0,61.5,13.1,6.1,5.0,1.1,87.2,10.2,2.6,75,10.7
PL-TERC-3005,7.3,16.8,52.6,14.9,8.4,12.9,56.3,13.5,8.3,7.8,1.1,20.2,76.4,3.4,123,11.4
WKR-123,69.7,15.2,1.0,7.4,6.7,19.9,46.8,18.7,6.7,6.6,1.3,19.3,78.1,2.6,180,11.9
WKR-132,62.9,18.4,1.0,8.3,9.4,22.9,41.2,18.7,8.1,7.6,1.5,5.6,92.0,2.4,117,11.0
PL-TERC-3025,11.7,28.3,31.6,18.5,9.9,16.8,55.0,14.4,7.3,5.6,1.0,18.9,78.0,3.1,71,14.2
WKR-048,11.9,63.2,1.0,12.9,11.0,21.3,48.6,16.5,7.0,5.5,1.1,12.7,85.2,2.1,167,9.8
WKR-062,5.7,13.0,55.0,17.3,9.0,20.6,52.3,13.5,7.7,4.6,1.3,87.5,9.4,3.1,124,14.1
WKR-067,2.4,34.5,35.4,20.8,6.9,18.2,53.0,13.4,7.1,6.7,1.6,91.5,4.9,3.6,104,10.1
WKR-049,3.8,49.3,16.4,23.4,7.1,13.4,55.5,17.5,7.6,4.4,1.6,90.6,5.7,3.8,91,10.8
WKR-069,2.2,27.4,1.0,30.1,39.3,52.3,10.1,21.0,7.1,7.8,1.6,86.2,11.0,2.8,6133,22.7
WKR-134,62.8,19.6,1.0,7.6,9.0,19.5,48.3,17.6,7.9,5.6,1.1,3,94.5,2.5,163,12.5
WKR-131,3.6,22.0,1.0,27.4,46.0,59.3,5.2,20.8,8.2,4.6,1.9,67.7,29.2,3.1,2228,16.6
PL-TERC-3020,10.0,23.0,44.3,15.4,7.3,12.6,55.0,17.2,6.7,7.2,1.3,23.4,73.7,2.9,77,11.5
WKR-128,7.4,20.0,1.0,32.9,38.7,54.7,11.8,17.5,7.4,7.2,1.4,69.1,27.2,3.7,1966,21.7
WKR-046,3.7,46.5,18.4,23.2,8.2,18.9,50.9,15.8,7.4,5.8,1.3,89.5,7.4,3.0,116,9.9
WKR-125,64.0,15.8,1.0,8.8,10.4,22.2,45.4,17.0,8.3,5.1,2.0,12.5,85.1,2.4,129,14.7
WKR-130,68.4,19.5,1.0,6.2,4.9,24.8,44.4,19.1,5.7,4.3,1.8,7.7,88.8,3.5,87,11.5
WKR-126,67.8,18.0,1.0,7.2,6.0,23.3,46.3,16.4,6.5,6.2,1.2,9.7,87.5,2.8,139,10.1
WKR-129,65.1,17.3,1.0,7.0,9.6,24.2,42.7,17.3,8.4,6.2,1.2,8.8,89.0,2.2,157,14.2
PL-TERC-3063,10.7,26.1,36.8,15.5,10.9,19.3,45.3,19.0,7.1,7.4,1.9,6.9,91.5,1.7,126,13.4
PL-TERC-0862,9.0,40.5,34.3,11.2,5.0,13.4,62.2,11.5,5.6,6.0,1.4,89.6,6.9,3.5,71,13.9
WKR-070,1.3,22.2,29.2,32.2,15.1,48.0,18.0,18.2,8.1,4.6,2.1,85.3,11.3,3.4,120,13.0
WKR-068,3.6,37.1,34.9,20.9,3.5,14.5,55.0,15.9,6.5,7.1,1.0,86.2,9.9,3.9,109,10.2
WKR-064,4.2,24.3,1.0,24.3,46.2,56.5,5.3,19.8,8.9,8.0,1.4,69.1,27.1,3.9,2416,18.4
WKR-052,3.2,32.1,1.0,21.2,42.5,59.6,4.8,19.6,8.9,5.2,1.9,70.1,28.0,1.9,2281,19.2
PL-TERC-3012,8.6,19.5,52.4,12.6,6.9,14.5,58.2,12.1,7.1,6.7,1.4,11.0,86.0,2.9,78,13.0
PL-TERC-0203,13.1,32.0,31.9,15.3,7.7,26.1,42.5,18.5,5.7,5.6,1.5,11.5,86.8,1.7,147,10.6
PL-TERC-3061,11.5,27.7,34.5,17.5,8.8,15.4,56.2,15.1,6.8,5.0,1.4,24.2,73.4,2.4,108,11.0
WKR-135,66.0,17.3,1.0,5.7,10.0,22.4,45.9,17.0,7.4,5.4,1.9,20.2,77.5,2.3,129,12.2
WKR-121,7.3,21.3,1.0,25.6,44.8,57.0,8.7,18.9,8.7,5.2,1.5,66.6,30.7,2.8,1888,12.5
WKR-136,64.9,18.3,1.0,6.2,9.6,22.5,43.9,19.0,7.7,5.5,1.4,3,94.4,2.6,135,12.6
WKR-144,11.6,35.6,1.0,26.0,25.8,59.6,5.8,20.0,6.5,6.8,1.3,61.9,34.2,3.9,3584,25.5
WKR-124,6.5,26.9,1.0,26.2,39.4,55.4,9.0,20.1,7.5,6.3,1.8,71.8,25.8,2.3,1905,17.2
WKR-112,67.5,17.8,1.0,6.1,7.6,25.8,44.1,16.1,7.2,5.0,1.8,7.4,89.8,2.8,116,11.5
WKR-065,5.6,12.9,56.1,15.9,9.5,16.0,52.9,15.3,7.6,6.5,1.7,85.4,12.0,2.7,128,12.7
WKR-111,70.2,14.3,1.0,7.8,6.7,23.5,44.1,18.8,8.0,4.5,1.0,10.0,88.4,1.6,140,11.2
PL-TERC-3017,7.9,15.8,61.5,9.9,4.9,13.5,58.6,15.9,5.9,4.8,1.3,14.5,83.8,1.7,78,13.1
WKR-120,5.5,22.7,1.0,23.3,47.5,57.6,6.8,18.4,8.2,7.2,1.8,70.6,27.1,2.4,2572,18.9
WKR-071,4.4,25.9,1.0,28.2,40.5,50.3,14.1,20.7,7.0,5.8,2.1,80.1,16.6,3.3,8447,20.7
WKR-145,73.5,14.9,1.0,5.4,5.2,24.9,43.5,18.1,7.0,5.0,1.4,10.2,87.6,2.2,114,10.9
WKR-073,5.6,38.6,30.4,20.2,5.2,15.9,55.0,15.4,6.0,6.2,1.5,89.3,7.7,3.0,93,13.0
WKR-122,8.5,28.0,1.0,17.7,44.8,61.8,3.3,19.4,8.2,6.1,1.3,47.4,48.8,3.8,3427,21.2
WKR-116,15.2,43.3,1.0,23.8,16.7,58.5,9.4,18.1,5.5,6.6,1.8,61.5,34.8,3.7,4973,23.0
WKR-143,19.2,30.1,1.0,17.5,32.2,61.5,8.4,16.0,6.7,5.6,1.9,43.8,52.2,4.0,5251,22.7
WKR-141,11.0,39.9,1.0,25.8,22.3,59.0,5.2,20.1,6.3,7.4,2.0,58.0,38.7,3.4,2371,20.3
WKR-140,9.7,29.6,1.0,20.6,39.1,60.8,6.4,17.6,8.2,5.2,1.8,49.8,46.8,3.4,1915,12.1
PL-TERC-0204,9.9,24.1,35.5,18.1,12.4,11.9,57.9,15.0,8.2,5.8,1.3,13.8,82.5,3.7,92,14.5
PL-TERC-0811,7.5,33.6,34.3,14.0,10.6,9.4,62.9,12.5,7.4,6.1,1.7,87.9,9.6,2.5,58,13.2
WKR-142,17.8,32.8,1.0,21.8,26.6,57.4,7.9,19.8,7.2,6.1,1.7,47.9,50.5,1.7,2165,13.5
WKR-115,9.4,29.5,1.0,24.7,35.4,63.6,4.2,19.2,7.1,4.5,1.6,60.2,37.0,2.8,3631,25.2
WKR-053,11.0,34.4,1.0,37.2,16.4,53.1,11.6,19.7,5.9,7.8,2.0,72.4,25.3,2.4,2315,12.7
WKR-118,15.3,41.6,1.0,25.7,16.4,59.3,10.9,15.9,6.6,6.1,1.2,51.4,46.1,2.5,1880,18.8
PL-TERC-0216,8.7,39.2,34.3,12.3,5.5,12.8,63.3,12.3,6.3,4.2,1.1,88.2,8.5,3.3,69,11.1
WKR-139,9.9,31.2,1.0,19.7,38.2,61.7,6.5,17.1,7.5,5.5,1.8,51.2,47.0,1.8,3852,18.2
PL-TERC-0213,7.8,17.9,55.3,13.1,5.9,7.5,65.1,14.3,6.3,4.9,1.9,91.2,6.3,2.5,42,9.8
WKR-150,8.6,33.5,28.0,23.5,6.4,18.6,54.6,14.3,6.3,4.5,1.7,88.8,8.9,2.3,112,10.7
WKR-117,24.0,35.6,1.0,17.6,21.8,59.6,8.9,17.0,6.9,6.5,1.3,39.3,56.8,3.9,2011,16.2
WKR-113,15.4,25.6,1.0,20.9,37.1,60.0,6.0,18.9,8.0,6.0,1.1,44.5,52.6,2.9,3188,20.0
WKR-188,28.8,46.8,1.0,9.2,14.2,20.2,47.7,17.0,8.3,5.0,1.9,3.2,93.8,3.0,140,13.5
WKR-119,15.3,35.9,1.0,20.4,27.4,64.6,3.1,19.4,6.6,4.8,1.6,45.9,50.1,4.0,3672,27.2
WKR-114,11.1,33.1,1.0,24.5,30.3,60.9,5.6,18.0,6.7,6.9,1.9,55.8,40.2,4.0,3988,22.1
WKR-138,11.0,37.3,1.0,27.8,22.9,61.4,8.2,16.5,7.1,5.4,1.5,60.7,36.9,2.4,2166,18.8
WKR-166,5.9,11.8,70.5,8.5,3.3,17.5,55.0,14.8,5.6,5.8,1.4,83.9,12.8,3.3,148,12.9
PL-TERC-3018,7.0,14.1,64.0,10.0,4.9,14.5,57.5,12.6,6.5,7.8,1.1,19.0,78.2,2.8,97,14.0
WKR-146,65.5,18.4,1.0,6.4,8.7,22.1,44.5,18.3,7.2,6.3,1.6,5.4,91.1,3.5,138,11.7
WKR-104,10.7,28.7,1.0,31.0,28.6,53.7,13.2,17.3,7.8,6.8,1.1,66.8,30.1,3.1,2397,15.8
WKR-137,15.8,36.3,1.0,25.3,21.6,61.7,7.3,19.0,6.8,4.1,1.2,60.9,37.3,1.7,2045,20.7
WKR-149,5.6,32.1,1.0,26.7,34.6,59.9,8.4,17.6,7.5,4.5,2.1,65.7,30.6,3.7,1927,15.1
WKR-110,6.6,27.1,1.0,34.0,31.3,55.6,8.3,20.6,6.6,6.9,2.0,68.8,27.6,3.6,1911,16.0
WKR-167,6.1,24.9,1.0,18.6,49.4,60.5,3.7,19.1,8.8,6.1,1.9,69.7,27.9,2.4,2634,18.6
WKR-105,16.5,43.0,1.0,17.6,21.9,60.5,5.2,21.6,6.6,4.6,1.5,45.3,52.4,2.3,3720,20.7
WKR-155,7.5,29.3,28.0,26.7,8.5,16.2,54.6,15.2,7.3,5.3,1.4,92.3,6.0,1.7,68,11.1
WKR-101,20.4,42.7,1.0,21.5,14.4,62.8,8.6,16.4,6.6,4.2,1.4,46.9,50.9,2.3,1995,16.2
PL-TERC-0214,8.5,19.6,49.7,15.7,6.5,9.3,61.4,13.9,6.5,7.6,1.4,95,3,2,63,12.9
PL-TERC-0209,6.2,14.2,53.1,17.1,9.4,9.4,63.2,14.0,7.6,4.6,1.3,93.2,4.5,2.3,86,14.8
WKR-109,17.1,34.7,1.0,27.4,19.8,64.5,5.1,16.6,6.5,5.7,1.5,50.0,48.3,1.8,2938,18.8
WKR-156,4.5,9.0,66.2,12.5,7.8,15.9,54.7,14.9,7.6,5.5,1.5,80.8,15.7,3.5,103,13.0
WKR-072,8.1,31.5,28.0,24.8,7.6,17.4,54.0,13.1,6.7,7.1,1.7,86.0,11.5,2.5,104,12.5
WKR-102,28.2,38.5,1.0,21.9,10.4,63.8,3.7,18.3,5.4,7.2,1.6,44.8,52.0,3.1,2993,16.0
WKR-103,9.5,32.6,1.0,30.6,26.3,54.7,12.8,17.9,6.9,6.1,1.6,70.7,26.6,2.8,1878,16.5
WKR-106,6.2,21.2,1.0,21.5,50.1,63.8,3.5,17.8,8.5,4.9,1.4,48.7,49.5,1.8,3868,20.1
WKR-108,11.3,32.9,1.0,21.8,33.0,60.5,6.1,19.5,7.3,4.6,2.0,51.0,45.9,3.1,2747,14.4
PL-TERC-0212,8.5,38.0,34.3,12.7,6.5,11.2,65.1,11.7,6.4,4.0,1.6,93.5,3.4,3.1,47,10.6
PL-TERC-0218,9.5,23.1,37.0,18.9,11.5,16.2,54.0,15.6,8.0,4.8,1.4,23.9,74.4,1.8,102,12.0
WKR-107,4.3,22.7,1.0,29.7,42.3,53.4,12.4,19.3,7.4,5.6,2.0,68.4,28.6,3.0,2362,18.2
PL-TERC-0264,7.6,17.5,52.7,13.5,8.7,25.3,41.7,17.1,8.0,6.4,1.6,9.9,88.1,2.0,145,10.3
WKR-148,8.7,27.4,1.0,27.7,35.2,57.9,5.5,21.0,7.8,6.5,1.3,67.1,28.9,4.0,2404,15.1
WKR-168,3.7,7.2,70.7,11.4,7.0,16.5,52.3,15.0,7.5,7.1,1.6,88.9,8.3,2.8,115,14.1
PL-TERC-0226,5.3,10.6,67.7,10.7,5.7,7.3,65.2,12.3,6.7,6.7,1.8,93.2,4.9,1.9,56,12.5
WKR-190,5.5,30.1,1.0,30.8,32.6,57.0,4.8,22.3,6.5,7.6,1.8,69.2,27.2,3.6,2504,21.9
PL-TERC-0223,6.7,13.4,60.8,11.2,7.9,20.4,46.9,16.8,8.0,6.7,1.2,4.2,93.2,2.6,96,14.0
WKR-088,64.7,17.3,1.0,9.2,7.8,25.6,42.9,17.3,7.1,5.5,1.7,16.5,81.9,1.6,132,11.3
WKR-098,69.2,14.8,1.0,7.5,7.5,23.3,44.0,16.6,7.3,7.0,1.8,11.1,85.4,3.5,135,10.2
WKR-100,18.4,44.4,1.0,20.9,15.3,61.7,8.8,16.2,6.0,5.6,1.7,49.6,47.8,2.5,2603,12.9
WKR-169,8.2,16.4,36.4,30.1,8.9,19.0,49.5,16.4,7.2,6.4,1.4,91.8,4.8,3.4,102,13.2
WKR-099,65.2,18.5,1.0,8.1,7.2,21.6,45.2,17.4,7.6,6.6,1.6,16.7,81.0,2.3,115,11.4
WKR-094,12.5,45.3,1.0,27.7,13.5,63.1,4.2,19.3,6.0,6.4,1.1,62.1,34.0,3.9,1939,18.5
PL-TERC-1604,17.6,37.9,29.6,6.7,8.2,12.8,59.5,13.7,6.8,5.3,1.8,8.9,89.2,1.9,67,10.8
WKR-192,4.0,24.5,1.0,26.1,44.4,57.7,10.9,17.4,7.8,4.4,1.8,72.1,25.8,2.1,2237,20.2
WKR-189,3.8,8.8,59.7,15.5,12.2,14.6,53.5,16.3,8.6,5.0,2.0,90.9,6.8,2.3,154,13.6
